"ChEMBL ID;""Name"";""Synonyms"";""Type"";""Max Phase"";""Molecular Weight"";""Targets"";""Bioactivities"";""AlogP"";""PSA"";""HBA"";""HBD"";""#RO5 Violations"";""#Rotatable Bonds"";""Passes Ro3"";""QED Weighted"";""CX ApKa"";""CX BpKa"";""CX LogP"";""CX LogD"";""Aromatic Rings"";""Structure Type"";""Inorganic Flag"";""Heavy Atoms"";""HBA Lipinski"";""HBD Lipinski"";""#RO5 Violations (Lipinski)"";""Molecular Weight (Monoisotopic)"";""Molecular Species"";""Molecular Formula"";""Smiles""",,,
"CHEMBL1289779;""ETIZOLAM"";""ETIZOLAM"";""Small molecule"";""0"";""342.86"";""6"";""12"";""4.20"";""43.07"";""5"";""0"";""0"";""2"";""N"";""0.70"";""None"";""4.55"";""4.06"";""4.06"";""3"";""MOL"";""0"";""23"";""4"";""0"";""0"";""342.0706"";""NEUTRAL"";""C17H15ClN4S"";""CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl""",,,
"CHEMBL505851;""REPOSAL"";""REPOSAL|Reposal"";""Small molecule"";""0"";""262.31"";""1"";""1"";""1.50"";""75.27"";""3"";""2"";""0"";""2"";""N"";""0.58"";""7.14"";""None"";""1.58"";""1.14"";""0"";""MOL"";""0"";""19"";""5"";""2"";""0"";""262.1317"";""NEUTRAL"";""C14H18N2O3"";""CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O""",,,
"CHEMBL1396;""VARENICLINE"";""CP-526","555|CP-526555|Chantix|VARENICLINE"";""Small molecule"";""4"";""211.27"";""28"";""197"";""1.80"";""37.81"";""3"";""1"";""0"";""0"";""Y"";""0.72"";""None"";""9.73"";""1.01"";""-1.27"";""2"";""MOL"";""0"";""16"";""3"";""1"";""0"";""211.1109"";""BASE"";""C13H13N3"";""c1cnc2cc3c(cc2n1)C1CNCC3C1""",,
"CHEMBL92401;""IPRONIAZID"";""IPRONIAZID|IPRONIAZIDE|Iproniazide|MARSILID"";""Small molecule"";""4"";""179.22"";""131"";""2243"";""0.72"";""54.02"";""3"";""2"";""0"";""3"";""Y"";""0.67"";""13.66"";""3.82"";""0.31"";""0.31"";""1"";""MOL"";""0"";""13"";""4"";""2"";""0"";""179.1059"";""NEUTRAL"";""C9H13N3O"";""CC(C)NNC(=O)c1ccncc1""",,,
"CHEMBL79;""LIDOCAINE"";""ALGRX 3268|ALGRX-3268|Alphacaine|Anestacon|DENTIPATCH|Embolex|Iontocaine|LIDOCAINE|LIGNOCAINE|LMX 4|Lidocaine|Lidocaton|Lidoderm|Lidopen|Lignocaine HCl|Lignostab|NSC-40030|ORAQIX|Octocaine|VAGISIL|XYLODASE|XYLOTOX|Xylocaine|ZTLIDO"";""Small molecule"";""4"";""234.34"";""201"";""1138"";""2.58"";""32.34"";""2"";""1"";""0"";""5"";""N"";""0.85"";""13.78"";""7.75"";""2.84"";""2.33"";""1"";""MOL"";""0"";""17"";""3"";""1"";""0"";""234.1732"";""NEUTRAL"";""C14H22N2O"";""CCN(CC)CC(=O)Nc1c(C)cccc1C""",,,
"CHEMBL11;""IMIPRAMINE"";""IMIPRAMINE|Imipramine|Janimine|NSC-169866|ORG-2463|Pramine|Presamine|TRIMIPRAMINE MALEATE IMPURITY"," IMIPRAMINE-|Tofranil|Tofranil-PM"";""Small molecule"";""4"";""280.42"";""147"";""2319"";""3.88"";""6.48"";""2"";""0"";""0"";""4"";""N"";""0.84"";""None"";""9.20"";""4.28"";""2.48"";""2"";""MOL"";""0"";""21"";""2"";""0"";""0"";""280.1939"";""BASE"";""C19H24N2"";""CN(C)CCCN1c2ccccc2CCc2ccccc21""",,
"CHEMBL282052;""METHAQUALONE"";""CI-705|CN 38703|METHAQUALONE|QZ-2|R-148|TR-495"";""Small molecule"";""4"";""250.30"";""21"";""108"";""3.00"";""34.89"";""3"";""0"";""0"";""1"";""N"";""0.67"";""None"";""1.18"";""3.17"";""3.17"";""3"";""MOL"";""0"";""19"";""3"";""0"";""0"";""250.1106"";""NEUTRAL"";""C16H14N2O"";""Cc1ccccc1-n1c(C)nc2ccccc2c1=O""",,,
"CHEMBL87385;""CLOPENTHIXOL"";""AY-62021|CHLORPENTHIXOL|CLOPENTHIXOL|N-746"";""Small molecule"";""0"";""400.98"";"""";"""";""4.24"";""26.71"";""4"";""1"";""0"";""5"";""N"";""0.69"";""None"";""8.03"";""4.22"";""3.50"";""2"";""MOL"";""0"";""27"";""3"";""1"";""0"";""400.1376"";""NEUTRAL"";""C22H25ClN2OS"";""OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(Cl)cc32)CC1""",,,
"CHEMBL1234579;""NITROUS OXIDE"";""E-942|ENTONOX|FEMA NO. 2779|INS NO.942|INS-942|NITROGEN MONOXIDE|NITROUS OXIDE|Nitrous Oxide"";""Small molecule"";""4"";""44.01"";""3"";""22"";""0.34"";""51.21"";""2"";""0"";""0"";""0"";""Y"";""0.29"";""4.65"";""None"";""-0.45"";""1.69"";""0"";""MOL"";""0"";""3"";""3"";""0"";""0"";""44.0011"";""ACID"";""N2O"";""N#[N+][O-]""",,,
"CHEMBL36715;""PIRACETAM"";""CL-871|GABACET|NOOTROP|NOOTROP 1200|NOOTROP 400|NOOTROP 800|NOOTROPIL|PIRACETAM"";""Small molecule"";""4"";""142.16"";""140"";""852"";""-0.91"";""63.40"";""2"";""1"";""0"";""2"";""N"";""0.54"";""None"";""None"";""-1.68"";""-1.68"";""0"";""MOL"";""0"";""10"";""4"";""2"";""0"";""142.0742"";""NEUTRAL"";""C6H10N2O2"";""NC(=O)CN1CCCC1=O""",,,
"CHEMBL1201217;""DYCLONINE"";""DYCLONINE"";""Small molecule"";""4"";""289.42"";""21"";""26"";""3.92"";""29.54"";""3"";""0"";""0"";""8"";""N"";""0.54"";""None"";""8.36"";""3.68"";""2.67"";""1"";""MOL"";""0"";""21"";""3"";""0"";""0"";""289.2042"";""NEUTRAL"";""C18H27NO2"";""CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1""",,,
"CHEMBL3833334;""PAPAVERETUM"";""OMNOPON-SCOPOLAMINE|PAPAVERETUM"";""Small molecule"";""4"";""1033.49"";"""";"""";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""MOL"";""0"";""None"";""None"";""None"";""None"";""923.4357"";""None"";""C55H64Cl3N3O10"";""CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.COc1ccc2c3c1OC1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314.Cl.Cl.Cl""",,,
"CHEMBL315985;""ESLICARBAZEPINE"";""BIA 2-194|BIA-2-194|CGP-13751|ESLICARBAZEPINE|Erelib|Pazzul|Stedesa"";""Small molecule"";""4"";""254.29"";""6"";""28"";""2.49"";""66.56"";""2"";""2"";""0"";""0"";""N"";""0.76"";""None"";""None"";""1.73"";""1.73"";""2"";""MOL"";""0"";""19"";""4"";""3"";""0"";""254.1055"";""NEUTRAL"";""C15H14N2O2"";""NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21""",,,
"CHEMBL1201210;""PROPIOMAZINE"";""CB 1678|CB-1678|Dorevan|Dorevane|Indorm|Largon|PROPIOMAZINE|Propavan|WY-1359"";""Small molecule"";""4"";""340.49"";""1"";""1"";""4.83"";""23.55"";""4"";""0"";""0"";""5"";""N"";""0.73"";""None"";""8.32"";""4.55"";""3.58"";""2"";""MOL"";""0"";""24"";""3"";""0"";""0"";""340.1609"";""NEUTRAL"";""C20H24N2OS"";""CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2""",,,
"CHEMBL268164;""CYCLOBARBITAL"";""CYCLOBARBITAL|HEXEMAL|Phanodorn"";""Small molecule"";""4"";""236.27"";""9"";""15"";""1.25"";""75.27"";""3"";""2"";""0"";""2"";""N"";""0.56"";""7.14"";""None"";""1.47"";""1.03"";""0"";""MOL"";""0"";""17"";""5"";""2"";""0"";""236.1161"";""NEUTRAL"";""C12H16N2O3"";""CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O""",,,
"CHEMBL3833333;""NABIXIMOLS"";""CANNABINOIDS|GW 1000|GW 1000-02|GW-1000|NABIXIMOLS|SAB 378|SAB-378|Sativex"";""Small molecule"";""3"";""628.94"";"""";"""";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""MOL"";""0"";""None"";""None"";""None"";""None"";""628.4492"";""None"";""C42H60O4"";""C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O.CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21""",,,
"CHEMBL277474;""ANTIPYRINE"";""ANTIPYRINE|Antipyrin|Antipyrine|NSC-7945|PHENAZONE|Phenazon"";""Small molecule"";""4"";""188.23"";""145"";""800"";""1.48"";""26.93"";""3"";""0"";""0"";""1"";""Y"";""0.67"";""None"";""0.49"";""1.22"";""1.22"";""2"";""MOL"";""0"";""14"";""3"";""0"";""0"";""188.0950"";""NEUTRAL"";""C11H12N2O"";""Cc1cc(=O)n(-c2ccccc2)n1C""",,,
"CHEMBL2106227;""ETIFOXINE"";""36-801|ETIFOXINE|HOE 36801|HOE-36801"";""Small molecule"";""3"";""300.79"";""7"";""27"";""4.23"";""33.62"";""3"";""1"";""0"";""2"";""N"";""0.90"";""None"";""5.18"";""4.59"";""4.59"";""2"";""MOL"";""0"";""21"";""3"";""1"";""0"";""300.1029"";""NEUTRAL"";""C17H17ClN2O"";""CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1""",,,
"CHEMBL267044;""LEVOSULPIRIDE"";""LEVOSULPIRIDE|SULPIRIDE L-FORM"";""Small molecule"";""2"";""341.43"";""139"";""506"";""0.56"";""101.73"";""5"";""2"";""0"";""6"";""N"";""0.79"";""10.24"";""8.39"";""0.22"";""-0.70"";""1"";""MOL"";""0"";""23"";""7"";""3"";""0"";""341.1409"";""NEUTRAL"";""C15H23N3O4S"";""CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC""",,,
"CHEMBL52125;""CHLORPROETHAZINE"";""CHLORPROETHAZINE"";""Small molecule"";""0"";""346.93"";""1"";""1"";""5.67"";""6.48"";""3"";""0"";""1"";""6"";""N"";""0.66"";""None"";""9.74"";""5.25"";""2.94"";""2"";""MOL"";""0"";""23"";""2"";""0"";""1"";""346.1270"";""BASE"";""C19H23ClN2S"";""CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21""",,,
"CHEMBL37744;""ZIMELDINE"";""Normud|ZIMELDINE|Zelmid|Zimelidine"";""Small molecule"";""4"";""317.23"";""23"";""59"";""3.84"";""16.13"";""2"";""0"";""0"";""4"";""N"";""0.85"";""None"";""8.62"";""3.51"";""2.27"";""2"";""MOL"";""0"";""19"";""2"";""0"";""0"";""316.0575"";""BASE"";""C16H17BrN2"";""CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1""",,,
"CHEMBL1200733;""DESFLURANE"";""DESFLURANE|I-653|Suprane"";""Small molecule"";""4"";""168.04"";""3"";""54"";""2.08"";""9.23"";""1"";""0"";""0"";""2"";""Y"";""0.57"";""None"";""None"";""2.40"";""2.40"";""0"";""MOL"";""0"";""10"";""1"";""0"";""0"";""168.0010"";""NEUTRAL"";""C3H2F6O"";""FC(F)OC(F)C(F)(F)F""",,,
"CHEMBL1328913;""DIMETACRINE"";""DIMETACRINE"";""Small molecule"";""0"";""294.44"";""76"";""101"";""4.42"";""6.48"";""2"";""0"";""0"";""4"";""N"";""0.82"";""None"";""9.20"";""4.42"";""2.63"";""2"";""MOL"";""0"";""22"";""2"";""0"";""0"";""294.2096"";""BASE"";""C20H26N2"";""CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21""",,,
"CHEMBL1094;""FELBAMATE"";""ADD-03055|FELBAMATE|Felbatol|TALOXA|W-554"";""Small molecule"";""4"";""238.24"";""33"";""228"";""0.96"";""104.64"";""4"";""2"";""0"";""5"";""N"";""0.80"";""None"";""None"";""0.68"";""0.68"";""1"";""MOL"";""0"";""17"";""6"";""4"";""0"";""238.0954"";""NEUTRAL"";""C11H14N2O4"";""NC(=O)OCC(COC(N)=O)c1ccccc1""",,,
"CHEMBL1059;""PREGABALIN"";""ALZAIN|AXALID|CI-1008|LECAENT|LYRICA CR|Lyrica|PD-144723|PREGABALIN|REWISCA|YNP-1807"";""Small molecule"";""4"";""159.23"";""19"";""148"";""1.08"";""63.32"";""2"";""2"";""0"";""5"";""N"";""0.63"";""4.80"";""10.23"";""-1.35"";""-1.34"";""0"";""MOL"";""0"";""11"";""3"";""3"";""0"";""159.1259"";""ZWITTERION"";""C8H17NO2"";""CC(C)C[C@H](CN)CC(=O)O""",,,
"CHEMBL621;""TRAZODONE"";""Desyrel|J10.767K|TRAZODONE|Trazodone|Trialodine"";""Small molecule"";""4"";""371.87"";""145"";""445"";""2.36"";""45.78"";""6"";""0"";""0"";""5"";""N"";""0.69"";""None"";""7.09"";""3.13"";""2.96"";""3"";""MOL"";""0"";""26"";""6"";""0"";""0"";""371.1513"";""NEUTRAL"";""C19H22ClN5O"";""O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12""",,,
"CHEMBL26;""SULPIRIDE"";""DOLMATIL|Dogmatyl|N05AL01|RD-1403|SULPIRIDE"";""Small molecule"";""4"";""341.43"";""173"";""2456"";""0.56"";""101.73"";""5"";""2"";""0"";""6"";""N"";""0.79"";""10.24"";""8.39"";""0.22"";""-0.70"";""1"";""MOL"";""0"";""23"";""7"";""3"";""0"";""341.1409"";""NEUTRAL"";""C15H23N3O4S"";""CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC""",,,
"CHEMBL1201754;""RUFINAMIDE"";""60231/4|BANZEL|CGP 33101|CGP-33101|E-2080|E2080|INOVELON|RUF 331|RUF-331|RUFINAMIDE"";""Small molecule"";""4"";""238.20"";""15"";""33"";""0.70"";""73.80"";""4"";""1"";""0"";""3"";""N"";""0.85"";""12.64"";""None"";""1.27"";""1.27"";""2"";""MOL"";""0"";""17"";""5"";""2"";""0"";""238.0666"";""NEUTRAL"";""C10H8F2N4O"";""NC(=O)c1cn(Cc2c(F)cccc2F)nn1""",,,
"CHEMBL126224;""IPRINDOLE"";""Galatur|IPRINDOLE|Pramindole|Prondol|Tertran|WY-3263"";""Small molecule"";""4"";""284.45"";""6"";""25"";""4.25"";""8.17"";""2"";""0"";""0"";""4"";""N"";""0.81"";""None"";""9.66"";""4.48"";""2.24"";""2"";""MOL"";""0"";""21"";""2"";""0"";""0"";""284.2252"";""BASE"";""C19H28N2"";""CN(C)CCCn1c2c(c3ccccc31)CCCCCC2""",,,
"CHEMBL501613;""MEPARFYNOL"";""Dormison|MEPARFYNOL|METHYLPARAFYNOL|METHYLPENTYNOL|OBLIVON"";""Small molecule"";""4"";""98.14"";""5"";""22"";""0.78"";""20.23"";""1"";""1"";""0"";""1"";""Y"";""0.48"";""None"";""None"";""0.93"";""0.93"";""0"";""MOL"";""0"";""7"";""1"";""1"";""0"";""98.0732"";""NEUTRAL"";""C6H10O"";""C#CC(C)(O)CC""",,,
"CHEMBL162036;""BENORILATE"";""BENORILATE|BENORYLATE|Benoral|FENASPRATE|TRIADOL|WIN 11450"";""Small molecule"";""4"";""313.31"";""11"";""38"";""2.79"";""81.70"";""5"";""1"";""0"";""4"";""N"";""0.69"";""None"";""None"";""2.48"";""2.48"";""2"";""MOL"";""0"";""23"";""6"";""1"";""0"";""313.0950"";""NEUTRAL"";""C17H15NO5"";""CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1""",,,
"CHEMBL2111030;""PROTHIPENDYL"";""PROTHIPENDYL"";""Small molecule"";""4"";""285.42"";""5"";""5"";""3.64"";""19.37"";""4"";""0"";""0"";""4"";""N"";""0.85"";""None"";""9.20"";""3.31"";""1.51"";""2"";""MOL"";""0"";""20"";""3"";""0"";""0"";""285.1300"";""BASE"";""C16H19N3S"";""CN(C)CCCN1c2ccccc2Sc2cccnc21""",,,
"CHEMBL654;""MIRTAZAPINE"";""MIRTAZAPINE|ORG 3770|ORG-3770|REMERON SOLTAB|Remeron|ZISPIN"";""Small molecule"";""4"";""265.36"";""64"";""199"";""2.48"";""19.37"";""3"";""0"";""0"";""0"";""Y"";""0.73"";""None"";""6.67"";""3.21"";""3.13"";""2"";""MOL"";""0"";""20"";""3"";""0"";""0"";""265.1579"";""NEUTRAL"";""C17H19N3"";""CN1CCN2c3ncccc3Cc3ccccc3C2C1""",,,
